bin_id,bin_lower,bin_upper,n_bin,mean_pred,frac_positive,abs_gap,weighted_gap,year,time_gap,model,threshold
0,0.0,0.1,37715,0.06850874313198971,0.10417605727164259,0.03566731413965288,0.007954213667325037,2017,3,logreg,0.1743370848987072
1,0.1,0.2,87126,0.1490106912541953,0.2158024011202167,0.0667917098660214,0.03440987312799411,2017,3,logreg,0.1743370848987072
2,0.2,0.30000000000000004,37048,0.2376223548358337,0.35375728784279853,0.11613493300696484,0.025441363068420285,2017,3,logreg,0.1743370848987072
3,0.30000000000000004,0.4,6183,0.3333910496354648,0.44735565259582727,0.11396460296036248,0.004166601465872273,2017,3,logreg,0.1743370848987072
4,0.4,0.5,709,0.434960227731326,0.5162200282087447,0.08125980047741871,0.0003406706513153016,2017,3,logreg,0.1743370848987072
5,0.5,0.6000000000000001,157,0.5373751198837756,0.5414012738853503,0.004026154001574689,3.7376856155633445e-06,2017,3,logreg,0.1743370848987072
6,0.6000000000000001,0.7000000000000001,49,0.6424978663214248,0.4489795918367347,0.1935182744846901,5.6070031101248344e-05,2017,3,logreg,0.1743370848987072
7,0.7000000000000001,0.8,24,0.7501832216776974,0.20833333333333334,0.541849888344364,7.68958609735552e-05,2017,3,logreg,0.1743370848987072
8,0.8,0.9,30,0.8460362934708835,0.3,0.5460362934708836,9.686246092425071e-05,2017,3,logreg,0.1743370848987072
9,0.9,1.0,76,0.9830679021705915,0.2894736842105263,0.6935942179600652,0.0003116964028747255,2017,3,logreg,0.1743370848987072
0,0.0,0.1,16629,0.06623635168839069,0.07907871790245956,0.012842366214068868,0.0038026301241764816,2018,4,logreg,0.1743370848987072
1,0.1,0.2,26871,0.1459350211670957,0.15138997432175952,0.005454953154663822,0.0026100435580301206,2018,4,logreg,0.1743370848987072
2,0.2,0.30000000000000004,10144,0.23853968436363346,0.2539432176656151,0.015403533301981659,0.002782290630614351,2018,4,logreg,0.1743370848987072
3,0.30000000000000004,0.4,2020,0.3345570320065177,0.33663366336633666,0.002076631359818948,7.469364933821715e-05,2018,4,logreg,0.1743370848987072
4,0.4,0.5,329,0.4355239530654898,0.46200607902735563,0.026482125961865832,0.00015513923506862284,2018,4,logreg,0.1743370848987072
5,0.5,0.6000000000000001,75,0.5456425182920973,0.44,0.10564251829209731,0.00014108242293282226,2018,4,logreg,0.1743370848987072
6,0.6000000000000001,0.7000000000000001,26,0.6379214847600979,0.38461538461538464,0.2533061001447133,0.00011727134265958949,2018,4,logreg,0.1743370848987072
7,0.7000000000000001,0.8,17,0.7466323044982112,0.35294117647058826,0.3936911280276229,0.00011917288419639582,2018,4,logreg,0.1743370848987072
